X,Y,V,R,T
3.97906e-13,-5.51384e-12,-1.5,7.1623e-12,-70.47
-5.68438e-13,-8.35604e-12,-1.4874371859296482,9.20869e-12,-99.36
2.33059e-12,-1.10277e-11,-1.4748743718592965,8.98132e-12,-74.52
1.13688e-12,-7.73076e-12,-1.4623115577889447,9.03816e-12,-87.054
2.33059e-12,-1.0175e-11,-1.449748743718593,1.0914e-11,-83.718
3.75169e-12,-9.66344e-12,-1.4371859296482412,1.07435e-11,-71.622
2.95587e-12,-9.37922e-12,-1.4246231155778895,8.52657e-12,-81.234
1.59162e-12,-8.64026e-12,-1.4120603015075377,8.24235e-12,-98.814
2.16006e-12,-8.6971e-12,-1.399497487437186,9.66344e-12,-69.696
3.06956e-12,-1.04024e-11,-1.3869346733668342,9.66344e-12,-88.422
6.25281e-13,-8.64026e-12,-1.3743718592964824,9.32238e-12,-81.408
1.76215e-12,-1.25056e-11,-1.3618090452261307,1.10845e-11,-79.806
4.54751e-13,-1.26193e-11,-1.349246231155779,9.77712e-12,-82.776
1.70531e-13,-1.15393e-11,-1.3366834170854272,1.32446e-11,-86.682
-9.09502e-13,-1.26193e-11,-1.3241206030150754,1.34151e-11,-83.754
2.27375e-13,-1.21645e-11,-1.3115577889447236,1.26193e-11,-81.06
1.819e-12,-1.15393e-11,-1.2989949748743719,1.08571e-11,-91.578
4.5475e-12,-1.13687e-11,-1.2864321608040201,1.27898e-11,-71.238
2.10322e-12,-1.14256e-11,-1.2738693467336684,1.22782e-11,-73.524
2.61481e-12,-1.18803e-11,-1.2613065326633166,1.31309e-11,-74.832
3.35378e-12,-1.10845e-11,-1.2487437185929648,1.2733e-11,-67.782
2.10322e-12,-1.15393e-11,-1.236180904522613,1.21077e-11,-73.254
2.61481e-12,-1.14824e-11,-1.2236180904522613,1.11982e-11,-73.074
3.75169e-12,-1.11982e-11,-1.2110552763819096,1.35856e-11,-69.474
6.48018e-12,-9.03816e-12,-1.1984924623115578,1.32446e-11,-71.382
3.46746e-12,-9.89081e-12,-1.185929648241206,1.28467e-11,-65.754
4.32013e-12,-1.24488e-11,-1.1733668341708543,1.2733e-11,-59.214
4.03591e-12,-9.89081e-12,-1.1608040201005025,1.11982e-11,-65.796
1.08003e-12,-7.90129e-12,-1.1482412060301508,1.20509e-11,-64.92
4.71803e-12,-7.50339e-12,-1.135678391959799,1.15393e-11,-61.59
5.91174e-12,-1.14824e-11,-1.1231155778894473,9.15185e-12,-58.788
6.65071e-12,-7.90129e-12,-1.1105527638190955,8.86763e-12,-49.698
5.8549e-12,-9.54975e-12,-1.0979899497487438,1.20509e-11,-61.038
5.00225e-12,-7.7876e-12,-1.085427135678392,1.04024e-11,-68.028
5.22962e-12,-8.35604e-12,-1.0728643216080402,1.00613e-11,-73.302
5.11594e-12,-5.57068e-12,-1.0603015075376885,1.22214e-11,-63.504
6.59386e-12,-9.32238e-12,-1.0477386934673367,1.06298e-11,-54.276
2.38744e-12,-1.04592e-11,-1.035175879396985,8.29919e-12,-61.278
5.91174e-12,-7.10546e-12,-1.0226130653266332,8.41288e-12,-58.188
4.49066e-12,-8.24235e-12,-1.0100502512562815,4.94541e-12,-59.496
2.44428e-12,-5.28647e-12,-0.9974874371859296,5.79806e-12,-63.144
1.42109e-12,-3.58115e-12,-0.9849246231155778,5.79806e-12,-104.994
-2.67165e-12,-5.96859e-12,-0.9723618090452261,8.81079e-12,-95.388
2.44428e-12,-4.5475e-12,-0.9597989949748743,7.04861e-12,-76.158
-9.09502e-13,-5.68437e-12,-0.9472361809045226,7.04861e-12,-95.148
-1.87585e-12,-6.59386e-12,-0.9346733668341708,5.34331e-12,-84.324
-2.78534e-12,-5.57068e-12,-0.922110552763819,7.50339e-12,-117.36
-2.7285e-12,-5.74121e-12,-0.9095477386934673,9.15185e-12,-117.216
-3.1264e-12,-8.58341e-12,-0.8969849246231155,5.22962e-12,-110.724
-3.58115e-12,-6.02543e-12,-0.8844221105527638,5.34331e-12,-124.38
-4.1496e-12,-5.00225e-12,-0.871859296482412,6.2528e-12,-115.884
-6.53702e-12,-3.97907e-12,-0.8592964824120602,8.81079e-12,-131.652
-5.11594e-12,-6.87808e-12,-0.8467336683417085,8.98132e-12,-140.412
-7.67392e-12,-5.96859e-12,-0.8341708542713567,8.86763e-12,-133.482
-7.27601e-12,-7.21914e-12,-0.821608040201005,1.14256e-11,-144.732
-9.20869e-12,-7.44654e-12,-0.8090452261306532,8.41288e-12,-145.746
-7.90129e-12,-7.90129e-12,-0.7964824120603015,1.26761e-11,-132.234
-1.06298e-11,-5.457e-12,-0.7839195979899497,1.33583e-11,-143.1
-7.10546e-12,-8.24235e-12,-0.7713567839195979,1.2733e-11,-138.702
-1.1994e-11,-6.65071e-12,-0.7587939698492462,1.29604e-11,-143.16
-1.07435e-11,-6.87808e-12,-0.7462311557788944,1.33583e-11,-147.936
-1.39835e-11,-8.92447e-12,-0.7336683417085427,1.50636e-11,-153.15
-1.47226e-11,-8.46972e-12,-0.7211055276381909,1.80195e-11,-142.662
-1.50068e-11,-1.08003e-11,-0.7085427135678392,1.97248e-11,-147.462
-1.76216e-11,-8.81079e-12,-0.6959798994974874,1.82468e-11,-147.498
