X,Y,V,R,T
-1.49158e-10,-5.82648e-12,-1.5,1.41939e-10,-177.696
-5.60478e-11,-6.53702e-12,-1.4889447236180904,4.61855e-11,-172.674
-9.03816e-12,-6.76439e-12,-1.477889447236181,4.97383e-12,-138.858
2.7285e-12,-6.53702e-12,-1.4668341708542714,2.04638e-12,-64.974
5.08751e-12,-5.96859e-12,-1.4557788944723618,2.7285e-12,-48.858
6.08227e-12,-6.2528e-12,-1.4447236180904524,3.63801e-12,-45.69
6.59386e-12,-6.33807e-12,-1.4336683417085427,4.00749e-12,-43.752
6.1107e-12,-6.19596e-12,-1.4226130653266331,3.49588e-12,-45.858
6.19596e-12,-6.48018e-12,-1.4115577889447235,3.78012e-12,-45.828
6.42333e-12,-6.45176e-12,-1.400502512562814,3.95065e-12,-45.222
6.13912e-12,-6.62229e-12,-1.3894472361809045,3.95065e-12,-47.298
6.30965e-12,-6.82124e-12,-1.3783919597989949,4.09275e-12,-47.118
6.42333e-12,-6.28123e-12,-1.3673366834170855,3.78012e-12,-44.022
6.2528e-12,-6.22438e-12,-1.3562814070351759,3.60957e-12,-45.0
5.71279e-12,-6.45176e-12,-1.3452261306532662,3.49588e-12,-48.432
6.02543e-12,-6.45176e-12,-1.3341708542713568,3.69485e-12,-46.68
6.62229e-12,-6.62229e-12,-1.3231155778894472,4.20644e-12,-44.784
6.22438e-12,-6.13912e-12,-1.3120603015075376,3.52431e-12,-44.532
6.5086e-12,-6.62229e-12,-1.3010050251256282,4.17802e-12,-45.144
6.62229e-12,-6.62229e-12,-1.2899497487437186,4.20644e-12,-44.28
7.04861e-12,-6.13912e-12,-1.278894472361809,4.17802e-12,-40.956
6.87808e-12,-6.16754e-12,-1.2678391959798994,4.06433e-12,-41.85
6.48018e-12,-6.33807e-12,-1.25678391959799,3.8938e-12,-44.556
6.42333e-12,-6.82124e-12,-1.2457286432160803,4.23486e-12,-46.656
6.70755e-12,-6.84966e-12,-1.234673366834171,4.40539e-12,-45.636
6.36649e-12,-7.02019e-12,-1.2236180904522613,4.32013e-12,-47.706
6.67913e-12,-7.04861e-12,-1.2125628140703517,4.5475e-12,-46.668
6.5086e-12,-7.24756e-12,-1.201507537688442,4.60434e-12,-47.904
6.36649e-12,-7.1623e-12,-1.1904522613065327,4.40539e-12,-48.39
6.45176e-12,-6.96335e-12,-1.179396984924623,4.37697e-12,-47.052
6.13912e-12,-6.99177e-12,-1.1683417085427137,4.1496e-12,-48.486
6.79282e-12,-6.84966e-12,-1.157286432160804,4.51908e-12,-45.0
6.5086e-12,-6.53702e-12,-1.1462311557788945,4.06433e-12,-45.0
6.22438e-12,-6.99177e-12,-1.1351758793969848,4.20644e-12,-48.318
6.28123e-12,-6.76439e-12,-1.1241206030150752,4.03591e-12,-46.614
6.62229e-12,-6.5086e-12,-1.1130653266331658,4.09275e-12,-44.34
6.84966e-12,-6.36649e-12,-1.1020100502512562,4.20644e-12,-42.834
6.56544e-12,-6.30965e-12,-1.0909547738693468,3.92222e-12,-44.034
6.99177e-12,-6.33807e-12,-1.0798994974874372,4.20644e-12,-42.048
6.67913e-12,-6.67913e-12,-1.0688442211055276,4.29171e-12,-44.856
6.62229e-12,-6.42333e-12,-1.057788944723618,4.00749e-12,-43.896
6.79282e-12,-6.33807e-12,-1.0467336683417086,4.17802e-12,-42.906
6.82124e-12,-6.82124e-12,-1.035678391959799,4.46224e-12,-45.0
6.42333e-12,-6.73597e-12,-1.0246231155778895,4.17802e-12,-46.812
6.08227e-12,-6.79282e-12,-1.01356783919598,3.92222e-12,-47.976
6.1107e-12,-6.73597e-12,-1.0025125628140703,3.92222e-12,-47.67
6.48018e-12,-6.9065e-12,-0.9914572864321608,4.26328e-12,-47.01
6.39491e-12,-6.62229e-12,-0.9804020100502512,4.06433e-12,-45.804
6.62229e-12,-6.84966e-12,-0.9693467336683417,4.37697e-12,-45.636
6.19596e-12,-6.9065e-12,-0.9582914572864322,4.12118e-12,-48.06
6.73597e-12,-6.9065e-12,-0.9472361809045226,4.46224e-12,-45.072
6.42333e-12,-6.16754e-12,-0.936180904522613,3.66643e-12,-43.854
6.28123e-12,-5.82648e-12,-0.9251256281407034,3.41062e-12,-42.318
6.59386e-12,-6.36649e-12,-0.9140703517587939,4.03591e-12,-43.824
6.42333e-12,-6.36649e-12,-0.9030150753768844,3.83696e-12,-44.7
5.94017e-12,-5.99701e-12,-0.8919597989949748,3.24009e-12,-45.48
6.19596e-12,-5.8549e-12,-0.8809045226130653,3.35378e-12,-43.494
5.54226e-12,-6.16754e-12,-0.8698492462311558,3.09798e-12,-48.432
5.31489e-12,-6.05385e-12,-0.8587939698492462,2.89903e-12,-48.102
5.71279e-12,-6.22438e-12,-0.8477386934673367,3.26851e-12,-47.484
5.62753e-12,-6.33807e-12,-0.8366834170854272,3.32535e-12,-48.666
5.31489e-12,-6.05385e-12,-0.8256281407035175,2.84218e-12,-48.456
5.42857e-12,-5.68437e-12,-0.814572864321608,2.70008e-12,-45.942
5.8549e-12,-6.16754e-12,-0.8035175879396984,3.3822e-12,-46.584
5.54226e-12,-6.53702e-12,-0.7924623115577889,3.3822e-12,-50.064
5.31489e-12,-6.87808e-12,-0.7814070351758794,3.46746e-12,-52.29
5.22962e-12,-6.33807e-12,-0.7703517587939698,3.01272e-12,-50.538
4.88856e-12,-6.65071e-12,-0.7592964824120603,3.1264e-12,-53.658
4.88856e-12,-6.65071e-12,-0.7482412060301507,3.04114e-12,-53.502
5.08751e-12,-6.70755e-12,-0.7371859296482411,3.24009e-12,-52.566
5.03067e-12,-6.5086e-12,-0.7261306532663316,3.01272e-12,-52.032
