X,Y,V,R,T
-8.52656e-11,1.36425e-12,-1.5,-3.06957e-11,-172.65
4.54751e-13,-7.50339e-12,-1.4889447236180904,-4.43381e-11,-64.026
3.63801e-12,-5.457e-12,-1.477889447236181,-4.59297e-11,-63.438
4.5475e-12,-5.68437e-12,-1.4668341708542714,-4.38833e-11,-52.884
6.13912e-12,-6.13912e-12,-1.4557788944723618,-4.3656e-11,-49.266
4.09275e-12,-5.68437e-12,-1.4447236180904524,-4.43381e-11,-58.812
4.77487e-12,-6.36649e-12,-1.4336683417085427,-4.47928e-11,-41.058
4.77487e-12,-7.04861e-12,-1.4226130653266331,-4.32012e-11,-46.638
4.77487e-12,-7.27601e-12,-1.4115577889447235,-4.29738e-11,-66.372
6.82124e-12,-6.36649e-12,-1.400502512562814,-4.25191e-11,-36.87
5.457e-12,-3.86538e-12,-1.3894472361809045,-4.34286e-11,-44.172
5.22962e-12,-8.18551e-12,-1.3783919597989949,-4.34286e-11,-53.364
6.36649e-12,-6.36649e-12,-1.3673366834170855,-4.1837e-11,-38.814
6.82124e-12,-6.36649e-12,-1.3562814070351759,-4.32012e-11,-41.73
5.91174e-12,-6.82124e-12,-1.3452261306532662,-4.38833e-11,-46.734
4.77487e-12,-7.04861e-12,-1.3341708542713568,-4.22917e-11,-58.86
4.5475e-12,-6.36649e-12,-1.3231155778894472,-4.29738e-11,-58.464
6.59386e-12,-5.91174e-12,-1.3120603015075376,-4.11549e-11,-46.932
6.13912e-12,-5.68437e-12,-1.3010050251256282,-4.38833e-11,-57.342
7.04861e-12,-6.59386e-12,-1.2899497487437186,-4.20644e-11,-39.288
5.91174e-12,-7.50339e-12,-1.278894472361809,-4.13822e-11,-39.096
4.77487e-12,-7.04861e-12,-1.2678391959798994,-4.3656e-11,-48.366
5.457e-12,-5.457e-12,-1.25678391959799,-4.38833e-11,-44.148
7.27601e-12,-6.13912e-12,-1.2457286432160803,-4.16096e-11,-51.792
4.77487e-12,-5.68437e-12,-1.234673366834171,-4.34286e-11,-50.79
5.22962e-12,-7.27601e-12,-1.2236180904522613,-4.32012e-11,-49.764
6.13912e-12,-5.68437e-12,-1.2125628140703517,-4.16096e-11,-50.442
5.457e-12,-5.68437e-12,-1.201507537688442,-4.29738e-11,-44.214
5.00225e-12,-6.36649e-12,-1.1904522613065327,-4.38833e-11,-50.196
5.457e-12,-8.18551e-12,-1.179396984924623,-4.29738e-11,-52.032
4.09275e-12,-7.27601e-12,-1.1683417085427137,-4.32012e-11,-52.908
7.04861e-12,-6.59386e-12,-1.157286432160804,-4.13822e-11,-60.138
7.04861e-12,-7.50339e-12,-1.1462311557788945,-4.1837e-11,-47.07
4.77487e-12,-4.77487e-12,-1.1351758793969848,-4.34286e-11,-40.854
4.77487e-12,-6.36649e-12,-1.1241206030150752,-4.16096e-11,-49.086
6.36649e-12,-7.27601e-12,-1.1130653266331658,-4.20644e-11,-49.938
5.68437e-12,-6.36649e-12,-1.1020100502512562,-4.25191e-11,-57.774
6.13912e-12,-7.04861e-12,-1.0909547738693468,-4.1837e-11,-42.21
6.59386e-12,-6.59386e-12,-1.0798994974874372,-4.32012e-11,-41.82
