X,Y,V,R,T
-1.13147e-10,-6.33807e-12,-1.5,1.05331e-10,-176.598
-3.95632e-11,-6.42333e-12,-1.4889447236180904,3.12925e-11,-169.89
-5.28647e-12,-6.19596e-12,-1.477889447236181,2.33059e-12,-124.218
3.21167e-12,-6.45176e-12,-1.4668341708542714,2.16006e-12,-61.86
5.34331e-12,-6.65071e-12,-1.4557788944723618,3.41062e-12,-50.61
6.02543e-12,-6.5086e-12,-1.4447236180904524,3.69485e-12,-46.836
5.48542e-12,-6.13912e-12,-1.4336683417085427,3.04114e-12,-48.288
5.14436e-12,-6.5086e-12,-1.4226130653266331,3.15482e-12,-51.504
5.62753e-12,-6.56544e-12,-1.4115577889447235,3.49588e-12,-49.218
5.91174e-12,-6.5086e-12,-1.400502512562814,3.66643e-12,-47.07
6.30965e-12,-6.53702e-12,-1.3894472361809045,3.95065e-12,-45.966
6.08227e-12,-6.33807e-12,-1.3783919597989949,3.60957e-12,-45.846
6.02543e-12,-5.88332e-12,-1.3673366834170855,3.21167e-12,-44.274
6.02543e-12,-5.82648e-12,-1.3562814070351759,3.18325e-12,-44.112
6.02543e-12,-6.2528e-12,-1.3452261306532662,3.55273e-12,-46.008
6.42333e-12,-6.13912e-12,-1.3341708542713568,3.75169e-12,-43.482
6.48018e-12,-5.88332e-12,-1.3231155778894472,3.60957e-12,-42.312
6.1107e-12,-6.2528e-12,-1.3120603015075376,3.58115e-12,-46.158
6.30965e-12,-6.45176e-12,-1.3010050251256282,3.83696e-12,-45.3
6.08227e-12,-6.33807e-12,-1.2899497487437186,3.60957e-12,-46.386
5.99701e-12,-6.79282e-12,-1.278894472361809,3.92222e-12,-48.198
6.13912e-12,-6.48018e-12,-1.2678391959798994,3.69485e-12,-46.296
6.22438e-12,-6.56544e-12,-1.25678391959799,3.8938e-12,-46.416
6.45176e-12,-7.04861e-12,-1.2457286432160803,4.34855e-12,-47.418
6.05385e-12,-6.28123e-12,-1.234673366834171,3.52431e-12,-45.852
5.68437e-12,-6.45176e-12,-1.2236180904522613,3.43904e-12,-49.002
6.28123e-12,-7.13388e-12,-1.2125628140703517,4.34855e-12,-48.624
6.33807e-12,-6.48018e-12,-1.201507537688442,3.8938e-12,-45.0
6.53702e-12,-6.36649e-12,-1.1904522613065327,4.00749e-12,-44.778
6.22438e-12,-6.45176e-12,-1.179396984924623,3.72327e-12,-46.296
5.94017e-12,-6.36649e-12,-1.1683417085427137,3.58115e-12,-47.01
5.65595e-12,-7.36128e-12,-1.157286432160804,4.1496e-12,-52.782
5.62753e-12,-7.07703e-12,-1.1462311557788945,3.86538e-12,-51.222
5.71279e-12,-7.10546e-12,-1.1351758793969848,4.06433e-12,-50.724
