X,Y,V,R,T
-7.16003e-10,-1.38698e-11,-1.5,1.88721e-10,-176.94
9.77712e-12,-6.59386e-12,-1.4889447236180904,-3.8199e-11,-25.926
1.6371e-11,-6.59386e-12,-1.477889447236181,-3.41063e-11,-21.702
1.61436e-11,-6.36649e-12,-1.4668341708542714,-3.31968e-11,-22.38
1.61436e-11,-6.82124e-12,-1.4557788944723618,-3.43336e-11,-16.326
1.56889e-11,-5.68437e-12,-1.4447236180904524,-3.43336e-11,-22.62
1.65984e-11,-6.59386e-12,-1.4336683417085427,-3.50158e-11,-18.252
1.65984e-11,-6.59386e-12,-1.4226130653266331,-3.41063e-11,-18.264
1.59163e-11,-5.00225e-12,-1.4115577889447235,-3.41063e-11,-10.986
1.56889e-11,-5.68437e-12,-1.400502512562814,-3.61526e-11,-21.348
1.61436e-11,-5.457e-12,-1.3894472361809045,-3.34242e-11,-16.596
1.56889e-11,-6.59386e-12,-1.3783919597989949,-3.4561e-11,-19.506
1.47794e-11,-7.04861e-12,-1.3673366834170855,-3.41063e-11,-21.9
1.36425e-11,-3.41062e-12,-1.3562814070351759,-3.638e-11,-17.058
1.65984e-11,-4.32013e-12,-1.3452261306532662,-3.31968e-11,-10.494
1.4552e-11,-3.18325e-12,-1.3341708542713568,-3.638e-11,-15.69
1.61436e-11,-4.09275e-12,-1.3231155778894472,-3.50158e-11,-11.652
1.38698e-11,-3.18325e-12,-1.3120603015075376,-3.56979e-11,-16.356
1.43246e-11,-3.86538e-12,-1.3010050251256282,-3.638e-11,-15.69
1.47794e-11,-3.86538e-12,-1.2899497487437186,-3.56979e-11,-16.356
1.36425e-11,-2.95587e-12,-1.278894472361809,-3.638e-11,-12.666
1.29604e-11,-1.36425e-12,-1.2678391959798994,-3.75169e-11,-3.408
1.50068e-11,-4.09275e-12,-1.25678391959799,-3.41063e-11,-10.452
1.47794e-11,-4.5475e-12,-1.2457286432160803,-3.56979e-11,-16.926
1.36425e-11,-2.95587e-12,-1.234673366834171,-3.88811e-11,-10.572
1.34151e-11,-3.18325e-12,-1.2236180904522613,-3.68348e-11,-9.672
1.13687e-11,-3.86538e-12,-1.2125628140703517,-4.0018e-11,-19.98
1.31877e-11,-3.18325e-12,-1.201507537688442,-3.8199e-11,-15.252
1.40972e-11,-3.18325e-12,-1.1904522613065327,-3.75169e-11,-9.462
1.29604e-11,-2.95587e-12,-1.179396984924623,-4.0018e-11,-10.668
1.11414e-11,-2.04638e-12,-1.1683417085427137,-3.95632e-11,-10.374
1.15961e-11,-4.32013e-12,-1.157286432160804,-4.0018e-11,-21.804
1.18235e-11,-4.32013e-12,-1.1462311557788945,-3.88811e-11,-13.668
1.02319e-11,-1.59162e-12,-1.1351758793969848,-4.07001e-11,-7.884
9.32238e-12,-1.13688e-12,-1.1241206030150752,-4.22917e-11,-15.522
9.32238e-12,-1.36425e-12,-1.1130653266331658,-4.25191e-11,-10.494
9.095e-12,-1.59162e-12,-1.1020100502512562,-4.20644e-11,-9.132
8.86763e-12,-2.95587e-12,-1.0909547738693468,-4.32012e-11,-18.798
8.64026e-12,-3.86538e-12,-1.0798994974874372,-4.22917e-11,-10.308
6.13912e-12,-2.95587e-12,-1.0688442211055276,-4.32012e-11,-20.958
8.41288e-12,-3.41062e-12,-1.057788944723618,-4.27465e-11,-20.808
6.59386e-12,-4.09275e-12,-1.0467336683417086,-4.43381e-11,-30.732
4.77487e-12,-3.18325e-12,-1.035678391959799,-4.52476e-11,-15.126
6.82124e-12,-2.04638e-12,-1.0246231155778895,-4.34286e-11,-28.14
6.36649e-12,-2.27375e-12,-1.01356783919598,-4.50202e-11,-23.964
5.457e-12,-2.7285e-12,-1.0025125628140703,-4.68392e-11,-30.258
4.32013e-12,-4.77487e-12,-0.9914572864321608,-4.57023e-11,-48.366
3.86538e-12,-1.59162e-12,-0.9804020100502512,-4.75213e-11,-31.758
3.86538e-12,-3.18325e-12,-0.9693467336683417,-4.61571e-11,-52.434
