X,Y,V,R,T
-9.20868e-11,-1.4552e-11,-1.5,-1.75079e-11,-160.494
1.819e-12,-8.64026e-12,-1.4889447236180904,-4.45655e-11,-76.296
2.04638e-12,-5.457e-12,-1.477889447236181,-4.5475e-11,-66.192
1.819e-12,-6.36649e-12,-1.4668341708542714,-4.57023e-11,-63.438
3.18325e-12,-5.457e-12,-1.4557788944723618,-4.38833e-11,-55.302
4.32013e-12,-7.27601e-12,-1.4447236180904524,-4.34286e-11,-75.678
5.22962e-12,-5.68437e-12,-1.4336683417085427,-4.41107e-11,-51.342
5.68437e-12,-5.22962e-12,-1.4226130653266331,-4.41107e-11,-49.536
5.457e-12,-5.91174e-12,-1.4115577889447235,-4.38833e-11,-51.912
3.63801e-12,-6.13912e-12,-1.400502512562814,-4.50202e-11,-50.016
4.77487e-12,-5.68437e-12,-1.3894472361809045,-4.34286e-11,-52.434
5.68437e-12,-7.04861e-12,-1.3783919597989949,-4.50202e-11,-51.114
6.13912e-12,-5.91174e-12,-1.3673366834170855,-4.29738e-11,-52.032
5.22962e-12,-6.36649e-12,-1.3562814070351759,-4.38833e-11,-51.144
5.457e-12,-6.13912e-12,-1.3452261306532662,-4.20644e-11,-65.226
4.5475e-12,-7.27601e-12,-1.3341708542713568,-4.41107e-11,-48.576
5.00225e-12,-7.04861e-12,-1.3231155778894472,-4.34286e-11,-54.06
4.09275e-12,-7.04861e-12,-1.3120603015075376,-4.13822e-11,-50.904
6.13912e-12,-6.36649e-12,-1.3010050251256282,-4.22917e-11,-47.172
4.77487e-12,-5.91174e-12,-1.2899497487437186,-4.27465e-11,-47.292
5.457e-12,-7.50339e-12,-1.278894472361809,-4.25191e-11,-54.834
5.22962e-12,-6.59386e-12,-1.2678391959798994,-4.3656e-11,-56.976
5.457e-12,-5.68437e-12,-1.25678391959799,-4.50202e-11,-40.914
6.36649e-12,-7.27601e-12,-1.2457286432160803,-4.32012e-11,-49.764
6.82124e-12,-7.50339e-12,-1.234673366834171,-4.16096e-11,-47.022
6.13912e-12,-8.86763e-12,-1.2236180904522613,-4.25191e-11,-51.666
4.77487e-12,-7.50339e-12,-1.2125628140703517,-4.22917e-11,-52.308
6.82124e-12,-7.95813e-12,-1.201507537688442,-4.20644e-11,-43.566
5.00225e-12,-7.50339e-12,-1.1904522613065327,-4.38833e-11,-60.708
5.68437e-12,-7.27601e-12,-1.179396984924623,-4.25191e-11,-54.582
