X,Y,V,R,T
-9.1018e-10,-1.6371e-11,-1.5,2.64665e-10,-177.738
4.09275e-12,-7.50339e-12,-1.4889447236180904,-4.22917e-11,-51.498
8.64026e-12,-7.04861e-12,-1.477889447236181,-4.07001e-11,-37.566
7.50339e-12,-7.73076e-12,-1.4668341708542714,-4.09275e-11,-52.596
8.86763e-12,-7.73076e-12,-1.4557788944723618,-3.95632e-11,-41.034
9.54975e-12,-8.86763e-12,-1.4447236180904524,-3.97906e-11,-46.146
9.54975e-12,-9.54975e-12,-1.4336683417085427,-3.79716e-11,-45.0
7.04861e-12,-8.18551e-12,-1.4226130653266331,-4.16096e-11,-48.366
9.32238e-12,-9.77712e-12,-1.4115577889447235,-3.95632e-11,-42.168
7.95813e-12,-8.18551e-12,-1.400502512562814,-4.0018e-11,-46.77
8.64026e-12,-8.18551e-12,-1.3894472361809045,-3.86537e-11,-38.196
6.13912e-12,-8.64026e-12,-1.3783919597989949,-3.97906e-11,-48.432
7.95813e-12,-9.32238e-12,-1.3673366834170855,-3.86537e-11,-54.888
5.68437e-12,-1.02319e-11,-1.3562814070351759,-3.95632e-11,-58.08
5.457e-12,-9.54975e-12,-1.3452261306532662,-3.91085e-11,-54.816
7.50339e-12,-8.86763e-12,-1.3341708542713568,-3.93359e-11,-51.096
8.18551e-12,-1.13687e-11,-1.3231155778894472,-3.638e-11,-58.392
8.86763e-12,-9.54975e-12,-1.3120603015075376,-3.91085e-11,-51.462
8.86763e-12,-1.06866e-11,-1.3010050251256282,-3.75169e-11,-46.908
9.095e-12,-9.77712e-12,-1.2899497487437186,-3.638e-11,-50.274
8.18551e-12,-1.02319e-11,-1.278894472361809,-3.84264e-11,-54.294
7.95813e-12,-1.04592e-11,-1.2678391959798994,-3.84264e-11,-46.548
8.64026e-12,-9.77712e-12,-1.25678391959799,-3.88811e-11,-44.472
9.095e-12,-1.06866e-11,-1.2457286432160803,-3.70621e-11,-54.312
9.32238e-12,-9.77712e-12,-1.234673366834171,-3.66074e-11,-47.256
1.06866e-11,-1.02319e-11,-1.2236180904522613,-3.66074e-11,-46.356
1.00045e-11,-1.13687e-11,-1.2125628140703517,-3.56979e-11,-54.81
8.41288e-12,-1.15961e-11,-1.201507537688442,-3.8199e-11,-54.714
9.77712e-12,-1.11414e-11,-1.1904522613065327,-3.68348e-11,-45.924
1.02319e-11,-1.13687e-11,-1.179396984924623,-3.34242e-11,-47.232
9.32238e-12,-1.25056e-11,-1.1683417085427137,-3.50158e-11,-45.804
8.64026e-12,-1.36425e-11,-1.157286432160804,-3.56979e-11,-46.272
1.15961e-11,-1.31877e-11,-1.1462311557788945,-3.47884e-11,-56.31
1.06866e-11,-1.2733e-11,-1.1351758793969848,-3.638e-11,-48.522
8.64026e-12,-1.22782e-11,-1.1241206030150752,-3.59253e-11,-52.764
1.11414e-11,-1.25056e-11,-1.1130653266331658,-3.41063e-11,-50.406
1.00045e-11,-1.36425e-11,-1.1020100502512562,-3.50158e-11,-51.972
1.20509e-11,-1.18235e-11,-1.0909547738693468,-3.52431e-11,-48.318
1.18235e-11,-1.25056e-11,-1.0798994974874372,-3.47884e-11,-52.674
9.77712e-12,-1.18235e-11,-1.0688442211055276,-3.638e-11,-51.144
1.11414e-11,-1.20509e-11,-1.057788944723618,-3.43336e-11,-48.138
1.04592e-11,-1.25056e-11,-1.0467336683417086,-3.56979e-11,-47.562
1.18235e-11,-1.29604e-11,-1.035678391959799,-3.56979e-11,-54.324
9.77712e-12,-1.31877e-11,-1.0246231155778895,-3.50158e-11,-53.244
1.36425e-11,-1.13687e-11,-1.01356783919598,-3.56979e-11,-43.29
1.00045e-11,-8.86763e-12,-1.0025125628140703,-3.75169e-11,-46.446
1.18235e-11,-9.54975e-12,-0.9914572864321608,-3.59253e-11,-42.846
1.29604e-11,-1.02319e-11,-0.9804020100502512,-3.68348e-11,-48.69
1.22782e-11,-1.20509e-11,-0.9693467336683417,-3.50158e-11,-45.816
1.13687e-11,-8.86763e-12,-0.9582914572864322,-3.61526e-11,-45.87
1.18235e-11,-9.095e-12,-0.9472361809045226,-3.638e-11,-37.374
9.32238e-12,-1.06866e-11,-0.936180904522613,-3.68348e-11,-46.374
1.04592e-11,-9.54975e-12,-0.9251256281407034,-3.638e-11,-40.128
8.86763e-12,-8.86763e-12,-0.9140703517587939,-3.8199e-11,-41.514
1.04592e-11,-9.54975e-12,-0.9030150753768844,-3.79716e-11,-40.524
