X,Y,V,R,T
-1.77489e-09,1.36425e-12,-1.5,5.52294e-10,-179.67
2.29649e-11,-6.82124e-12,-1.4889447236180904,-2.38743e-11,-7.548
2.84218e-11,-4.5475e-12,-1.477889447236181,-2.31922e-11,-8.13
3.13778e-11,-5.22962e-12,-1.4668341708542714,-2.25101e-11,-12.21
2.86492e-11,-3.86538e-12,-1.4557788944723618,-2.20554e-11,-8.082
2.81944e-11,-3.18325e-12,-1.4447236180904524,-2.29649e-11,-8.694
2.86492e-11,-2.27375e-12,-1.4336683417085427,-2.41017e-11,-3.816
2.79671e-11,-9.09502e-13,-1.4226130653266331,-2.22827e-11,-2.28
2.97862e-11,-2.27375e-12,-1.4115577889447235,-2.11459e-11,-6.27
2.84218e-11,-2.27375e-12,-1.400502512562814,-2.50112e-11,-6.462
2.68302e-11,-4.54751e-13,-1.3894472361809045,-2.47838e-11,-2.136
2.61481e-11,-2.27375e-13,-1.3783919597989949,-2.59207e-11,0.372
2.61481e-11,-4.54751e-13,-1.3673366834170855,-2.50112e-11,-2.16
2.7285e-11,4.54751e-13,-1.3562814070351759,-2.52386e-11,1.452
2.56933e-11,-6.82124e-13,-1.3452261306532662,-2.63755e-11,0.756
2.47838e-11,0.0,-1.3341708542713568,-2.75123e-11,1.974
2.5466e-11,4.54751e-13,-1.3231155778894472,-2.70576e-11,0.384
2.43291e-11,2.27375e-12,-1.3120603015075376,-2.7285e-11,7.854
2.1828e-11,3.41062e-12,-1.3010050251256282,-2.88766e-11,5.082
2.22827e-11,2.50112e-12,-1.2899497487437186,-2.88766e-11,11.886
2.1828e-11,2.95587e-12,-1.278894472361809,-2.91041e-11,6.81
2.25101e-11,2.50112e-12,-1.2678391959798994,-3.00135e-11,5.754
2.20554e-11,2.95587e-12,-1.25678391959799,-2.93314e-11,7.284
1.90995e-11,1.819e-12,-1.2457286432160803,-3.02409e-11,9.906
1.90995e-11,5.00225e-12,-1.234673366834171,-3.0923e-11,11.676
1.86448e-11,1.36425e-12,-1.2236180904522613,-3.38789e-11,5.34
1.93269e-11,2.27375e-12,-1.2125628140703517,-3.38789e-11,7.524
1.84174e-11,1.819e-12,-1.201507537688442,-3.34242e-11,7.908
1.72805e-11,2.27375e-12,-1.1904522613065327,-3.4561e-11,3.366
1.65984e-11,4.32013e-12,-1.179396984924623,-3.56979e-11,12.594
1.61436e-11,4.09275e-12,-1.1683417085427137,-3.41063e-11,12.06
1.43246e-11,2.50112e-12,-1.157286432160804,-3.8199e-11,15.948
1.36425e-11,4.32013e-12,-1.1462311557788945,-3.68348e-11,13.722
1.36425e-11,2.7285e-12,-1.1351758793969848,-3.70621e-11,11.958
1.22782e-11,3.63801e-12,-1.1241206030150752,-3.8199e-11,12.996
1.15961e-11,3.86538e-12,-1.1130653266331658,-3.86537e-11,17.046
9.77712e-12,2.04638e-12,-1.1020100502512562,-4.11549e-11,10.956
7.50339e-12,2.04638e-12,-1.0909547738693468,-4.32012e-11,18.798
9.095e-12,2.95587e-12,-1.0798994974874372,-4.32012e-11,20.556
7.27601e-12,3.41062e-12,-1.0688442211055276,-4.45655e-11,24.102
5.68437e-12,2.50112e-12,-1.057788944723618,-4.45655e-11,18.006
5.68437e-12,1.819e-12,-1.0467336683417086,-4.63845e-11,12.726
4.77487e-12,2.27375e-12,-1.035678391959799,-4.63845e-11,28.176
4.32013e-12,1.59162e-12,-1.0246231155778895,-4.75213e-11,33.69
4.54751e-13,6.82124e-13,-1.01356783919598,-5.02498e-11,60.252
6.82124e-13,1.819e-12,-1.0025125628140703,-5.00224e-11,63.438
0.0,0.0,-0.9914572864321608,-5.13867e-11,180.0
-2.04638e-12,9.09502e-13,-0.9804020100502512,-4.88856e-11,147.264
-3.41062e-12,0.0,-0.9693467336683417,-4.68392e-11,161.568
-3.41062e-12,-2.7285e-12,-0.9582914572864322,-4.70666e-11,-156.252
-7.04861e-12,-1.13688e-12,-0.9472361809045226,-4.59297e-11,-164.748
-6.82124e-12,-2.27375e-12,-0.936180904522613,-4.52476e-11,-150.066
-5.91174e-12,-4.5475e-12,-0.9251256281407034,-4.27465e-11,-146.61
-8.86763e-12,-3.86538e-12,-0.9140703517587939,-4.09275e-11,-164.664
-1.25056e-11,-4.5475e-12,-0.9030150753768844,-3.84264e-11,-160.878
-1.25056e-11,-6.82124e-12,-0.8919597989949748,-3.54705e-11,-155.016
-1.38698e-11,-5.457e-12,-0.8809045226130653,-3.43336e-11,-158.406
-1.4552e-11,-6.82124e-12,-0.8698492462311558,-3.43336e-11,-157.89
-1.79626e-11,-7.27601e-12,-0.8587939698492462,-3.06957e-11,-159.39
-2.0009e-11,-7.50339e-12,-0.8477386934673367,-3.00135e-11,-161.424
-2.20554e-11,-8.18551e-12,-0.8366834170854272,-2.86492e-11,-161.436
-2.34196e-11,-8.64026e-12,-0.8256281407035175,-2.61481e-11,-160.974
-2.31922e-11,-1.06866e-11,-0.814572864321608,-2.31922e-11,-158.574
-2.70576e-11,-9.32238e-12,-0.8035175879396984,-2.13732e-11,-162.966
-3.13778e-11,-1.04592e-11,-0.7924623115577889,-1.86448e-11,-162.942
-3.36515e-11,-1.06866e-11,-0.7814070351758794,-1.56889e-11,-162.486
-3.38789e-11,-1.2733e-11,-0.7703517587939698,-1.43246e-11,-162.048
-3.75169e-11,-1.11414e-11,-0.7592964824120603,-1.0914e-11,-164.088
-4.02454e-11,-1.20509e-11,-0.7482412060301507,-7.95813e-12,-164.268
-4.20644e-11,-1.34151e-11,-0.7371859296482411,-5.22962e-12,-164.562
-4.63845e-11,-1.29604e-11,-0.7261306532663316,-3.18325e-12,-164.19
-4.93403e-11,-1.56889e-11,-0.715075376884422,1.13688e-12,-164.952
-5.3433e-11,-1.15961e-11,-0.7040201005025125,3.86538e-12,-166.254
-5.36604e-11,-1.61436e-11,-0.692964824120603,6.36649e-12,-165.006
-5.75258e-11,-1.68258e-11,-0.6819095477386934,1.25056e-11,-164.808
-6.07092e-11,-1.47794e-11,-0.6708542713567839,1.20509e-11,-166.512
-6.75304e-11,-1.56889e-11,-0.6597989949748744,1.79626e-11,-166.266
-6.93494e-11,-1.79626e-11,-0.6487437185929648,2.34196e-11,-166.518
-7.43516e-11,-1.86448e-11,-0.6376884422110553,2.7285e-11,-167.172
-7.75349e-11,-1.88721e-11,-0.6266331658291456,2.97862e-11,-166.734
