X,Y,R,T
-8.69878e-10,-1.819e-11,8.70219e-10,-178.746
-8.68173e-10,-1.93837e-11,8.684e-10,-178.686
-8.68685e-10,-2.0009e-11,8.69253e-10,-178.686
-8.69196e-10,-2.0009e-11,8.69992e-10,-178.668
-8.6931e-10,-2.09185e-11,8.70276e-10,-178.626
-8.70333e-10,-2.19417e-11,8.70561e-10,-178.626
-8.6931e-10,-2.0748e-11,8.69992e-10,-178.62
-8.69651e-10,-2.19985e-11,8.69594e-10,-178.542
-8.70163e-10,-2.23396e-11,8.7039e-10,-178.56
-8.68457e-10,-2.13732e-11,8.69537e-10,-178.59
-8.69253e-10,-2.20554e-11,8.69765e-10,-178.548
