X,Y,R,T
-4.60718e-10,-7.1623e-12,4.59638e-10,-179.1
-4.61343e-10,-8.29919e-12,4.61513e-10,-179.07
-4.60206e-10,-8.07182e-12,4.60718e-10,-179.118
-4.61116e-10,-8.81079e-12,4.60831e-10,-178.872
-4.62366e-10,-8.24235e-12,4.62764e-10,-179.1
-4.62537e-10,-6.93492e-12,4.62878e-10,-179.106
-4.63105e-10,-6.53702e-12,4.63617e-10,-179.154
-4.60718e-10,-6.13912e-12,4.60433e-10,-179.22
-4.62139e-10,-7.73076e-12,4.62991e-10,-179.112
-4.63105e-10,-7.3897e-12,4.63048e-10,-179.04
-4.58387e-10,-8.35604e-12,4.58899e-10,-179.004
