X,Y,R,T
-5.23645e-10,-1.71668e-11,5.22849e-10,-177.99
-5.23247e-10,-1.78489e-11,5.23759e-10,-178.074
-5.25009e-10,-1.88721e-11,5.24896e-10,-177.936
-5.24157e-10,-1.90427e-11,5.23077e-10,-177.9
-5.18074e-10,-1.88721e-11,5.1762e-10,-177.972
-5.13527e-10,-1.96111e-11,5.14778e-10,-177.738
-5.18813e-10,-2.04069e-11,5.21087e-10,-177.738
-5.24043e-10,-1.97816e-11,5.24384e-10,-177.834
-5.23418e-10,-1.95542e-11,5.24611e-10,-177.93
-5.24441e-10,-2.00658e-11,5.24498e-10,-177.798
-5.25066e-10,-1.96679e-11,5.24896e-10,-177.762
