X,Y,R,T,long
-3.15937e-10,-6.48018e-12,2.95588e-10,-178.818,634
-3.21849e-10,-6.82124e-12,3.01386e-10,-178.8,633
-3.28443e-10,-6.70755e-12,3.08093e-10,-178.836,632
-3.35378e-10,-6.59386e-12,3.15028e-10,-178.884,631
-3.41403e-10,-6.59386e-12,3.21053e-10,-178.902,630
-3.48338e-10,-6.82124e-12,3.28102e-10,-178.884,629
-3.55955e-10,-6.70755e-12,3.35605e-10,-178.926,628
-3.63004e-10,-7.73076e-12,3.42768e-10,-178.782,627
-3.71417e-10,-7.61707e-12,3.51067e-10,-178.83,626
-3.79034e-10,-6.93492e-12,3.58684e-10,-178.95,625
-3.87333e-10,-6.70755e-12,3.67097e-10,-179.016,624
-3.95746e-10,-7.50339e-12,3.75396e-10,-178.932,623
-4.04841e-10,-6.36649e-12,3.84832e-10,-179.112,622
-4.14504e-10,-6.36649e-12,3.94381e-10,-179.136,621
-4.24054e-10,-6.82124e-12,4.03931e-10,-179.094,620
-4.33603e-10,-6.02543e-12,4.13481e-10,-179.214,619
-4.44517e-10,-6.13912e-12,4.24395e-10,-179.22,618
-4.55204e-10,-6.02543e-12,4.35081e-10,-179.256,617
-4.65208e-10,-5.91174e-12,4.45086e-10,-179.28,616
-4.76579e-10,-5.68437e-12,4.56341e-10,-179.328,615
-4.87947e-10,-5.57068e-12,4.67598e-10,-179.358,614
-5.00112e-10,-5.57068e-12,4.79876e-10,-179.376,613
-5.11822e-10,-5.68437e-12,4.91813e-10,-179.376,612
-5.26715e-10,-5.11594e-12,5.06592e-10,-179.46,611
-5.39448e-10,-5.34331e-12,5.19211e-10,-179.436,610
-5.51044e-10,-5.79806e-12,5.30807e-10,-179.406,609
-5.64118e-10,-5.57068e-12,5.43995e-10,-179.454,608
-5.77646e-10,-6.36649e-12,5.57637e-10,-179.376,607
-5.91516e-10,-6.02543e-12,5.7128e-10,-179.418,606
-6.05727e-10,-6.48018e-12,5.85718e-10,-179.394,605
-6.21529e-10,-6.36649e-12,6.01521e-10,-179.424,604
-6.37446e-10,-6.82124e-12,6.17323e-10,-179.388,603
-6.50861e-10,-7.84445e-12,6.30738e-10,-179.322,602
-6.65299e-10,-8.07182e-12,6.4529e-10,-179.31,601
-6.79965e-10,-7.84445e-12,6.60069e-10,-179.346,600
-6.95767e-10,-7.50339e-12,6.75985e-10,-179.388,599
-7.12024e-10,-8.07182e-12,6.92129e-10,-179.358,598
-7.28509e-10,-8.18551e-12,7.08614e-10,-179.358,597
-7.45562e-10,-8.07182e-12,7.25667e-10,-179.388,596
-7.62729e-10,-7.50339e-12,7.42947e-10,-179.448,595
-7.80691e-10,-6.70755e-12,7.60796e-10,-179.52,594
-7.97858e-10,-7.1623e-12,7.77963e-10,-179.496,593
-8.15366e-10,-6.59386e-12,7.9547e-10,-179.538,592
-8.33214e-10,-6.48018e-12,8.13319e-10,-179.562,591
-8.51063e-10,-5.91174e-12,8.31168e-10,-179.604,590
-8.69253e-10,-6.02543e-12,8.49358e-10,-179.61,589
-8.87216e-10,-4.5475e-12,8.6732e-10,-179.706,588
-9.04837e-10,-5.22962e-12,8.84828e-10,-179.67,587
-9.23482e-10,-4.88856e-12,9.037e-10,-179.706,586
-9.43608e-10,-5.11594e-12,9.23823e-10,-179.694,585
-9.63276e-10,-4.77487e-12,9.43494e-10,-179.724,584
-9.83626e-10,-5.11594e-12,9.63844e-10,-179.706,583
-1.00352e-09,-5.68437e-12,9.83626e-10,-179.682,582
-1.02387e-09,-5.57068e-12,1.00398e-09,-179.694,581
-1.04502e-09,-5.79806e-12,1.02512e-09,-179.688,580
-1.06468e-09,-6.48018e-12,1.0449e-09,-179.652,579
-1.08549e-09,-6.82124e-12,1.06559e-09,-179.64,578
-1.10698e-09,-7.3897e-12,1.08708e-09,-179.616,577
-1.12801e-09,-7.3897e-12,1.10823e-09,-179.628,576
-1.15029e-09,-8.41288e-12,1.13051e-09,-179.58,575
-1.17223e-09,-8.75394e-12,1.15234e-09,-179.58,574
-1.19235e-09,-9.095e-12,1.17257e-09,-179.568,573
-1.21293e-09,-8.86763e-12,1.19326e-09,-179.574,572
-1.23396e-09,-1.02319e-11,1.2143e-09,-179.526,571
-1.25306e-09,-9.54975e-12,1.23328e-09,-179.568,570
-1.2741e-09,-9.20869e-12,1.25431e-09,-179.592,569
-1.29388e-09,-9.095e-12,1.2741e-09,-179.598,568
-1.31502e-09,-8.86763e-12,1.29535e-09,-179.616,567
-1.33571e-09,-8.41288e-12,1.31593e-09,-179.64,566
-1.35675e-09,-7.95813e-12,1.33696e-09,-179.67,565
-1.37596e-09,-7.04861e-12,1.35618e-09,-179.712,564
-1.39767e-09,-6.36649e-12,1.37789e-09,-179.742,563
-1.42132e-09,-5.79806e-12,1.40142e-09,-179.772,562
-1.44122e-09,-5.34331e-12,1.42143e-09,-179.79,561
-1.46475e-09,-4.20644e-12,1.44485e-09,-179.838,560
-1.48351e-09,-3.86538e-12,1.46361e-09,-179.85,559
-1.50295e-09,-4.43381e-12,1.48294e-09,-179.832,558
-1.52102e-09,-3.97907e-12,1.50113e-09,-179.856,557
-1.54046e-09,-3.41062e-12,1.52057e-09,-179.874,556
-1.55854e-09,-3.97907e-12,1.53853e-09,-179.856,555
-1.57639e-09,-5.00225e-12,1.55649e-09,-179.82,554
-1.59378e-09,-4.09275e-12,1.574e-09,-179.856,553
-1.61243e-09,-5.457e-12,1.59253e-09,-179.808,552
-1.63005e-09,-5.68437e-12,1.60993e-09,-179.802,551
-1.64608e-09,-6.70755e-12,1.62607e-09,-179.766,550
-1.6612e-09,-7.61707e-12,1.64108e-09,-179.736,549
-1.67643e-09,-8.41288e-12,1.65642e-09,-179.712,548
-1.69178e-09,-9.54975e-12,1.67166e-09,-179.676,547
-1.70417e-09,-9.89081e-12,1.68405e-09,-179.67,546
-1.71782e-09,-1.10277e-11,1.69758e-09,-179.634,545
-1.72998e-09,-1.17098e-11,1.70986e-09,-179.616,544
-1.74033e-09,-1.21645e-11,1.7202e-09,-179.604,543
-1.75022e-09,-1.21645e-11,1.72998e-09,-179.604,542
-1.75988e-09,-1.22782e-11,1.73964e-09,-179.604,541
-1.76772e-09,-1.25056e-11,1.74737e-09,-179.598,540
-1.77659e-09,-1.18235e-11,1.75636e-09,-179.622,539
-1.78387e-09,-1.08003e-11,1.76352e-09,-179.652,538
-1.79035e-09,-1.06866e-11,1.77e-09,-179.658,537
-1.7958e-09,-9.66344e-12,1.77534e-09,-179.694,536
-1.80069e-09,-7.95813e-12,1.78023e-09,-179.748,535
-1.80558e-09,-7.27601e-12,1.78512e-09,-179.772,534
-1.8099e-09,-6.13912e-12,1.78932e-09,-179.808,533
-1.81263e-09,-5.22962e-12,1.79205e-09,-179.838,532
-1.81593e-09,-3.75169e-12,1.79524e-09,-179.886,531
-1.81786e-09,-3.41062e-12,1.79717e-09,-179.892,530
-1.81922e-09,-2.38744e-12,1.79853e-09,-179.928,529
-1.81888e-09,-2.27375e-12,1.79819e-09,-179.928,528
-1.81934e-09,-2.04638e-12,1.79865e-09,-179.94,527
-1.81752e-09,-1.93269e-12,1.79671e-09,-179.94,526
-1.81513e-09,-2.16006e-12,1.79433e-09,-179.928,525
-1.81218e-09,-3.41062e-12,1.79126e-09,-179.892,524
-1.80592e-09,-3.97907e-12,1.785e-09,-179.874,523
-1.80126e-09,-5.22962e-12,1.78034e-09,-179.838,522
-1.79308e-09,-6.36649e-12,1.77204e-09,-179.802,521
-1.78444e-09,-7.1623e-12,1.76329e-09,-179.772,520
-1.77273e-09,-8.75394e-12,1.75158e-09,-179.718,519
-1.76124e-09,-1.00045e-11,1.73998e-09,-179.67,518
