X,Y,R,T
-4.12401e-10,-1.20509e-11,4.12401e-10,-178.272
-4.12344e-10,-1.32446e-11,4.12344e-10,-178.284
-4.11264e-10,-1.18803e-11,4.11889e-10,-178.374
-4.1206e-10,-1.09708e-11,4.12628e-10,-178.494
-4.1314e-10,-1.19372e-11,4.13765e-10,-178.392
-4.13538e-10,-1.19372e-11,4.12628e-10,-178.368
-4.13367e-10,-1.14824e-11,4.12799e-10,-178.416
-4.12344e-10,-1.17666e-11,4.12344e-10,-178.26
-4.10809e-10,-1.1653e-11,4.11946e-10,-178.404
-4.12912e-10,-1.08571e-11,4.13026e-10,-178.404
-4.14959e-10,-1.07435e-11,4.153e-10,-178.59
