X,Y,R,T
-5.88617e-10,-1.23919e-11,5.8839e-10,-178.836
-5.87196e-10,-1.29604e-11,5.87139e-10,-178.782
-5.88219e-10,-1.25056e-11,5.8839e-10,-178.848
-5.88674e-10,-1.0914e-11,5.88333e-10,-178.914
-5.88845e-10,-1.0914e-11,5.89072e-10,-178.95
-5.89242e-10,-1.07435e-11,5.90095e-10,-178.974
-5.89754e-10,-9.03816e-12,5.89981e-10,-179.058
-5.9055e-10,-1.08003e-11,5.91061e-10,-178.95
-5.91175e-10,-1.0175e-11,5.90493e-10,-178.938
-5.89299e-10,-1.11414e-11,5.89925e-10,-179.004
-5.91118e-10,-9.72028e-12,5.91005e-10,-178.974
