X,Y,R,T
-3.9728e-10,-1.11414e-11,3.97451e-10,-178.494
-3.96712e-10,-1.05729e-11,3.97565e-10,-178.566
-3.96883e-10,-1.0175e-11,3.96655e-10,-178.596
-3.9819e-10,-8.86763e-12,3.97849e-10,-178.764
-3.98986e-10,-1.00045e-11,3.98872e-10,-178.614
-3.98133e-10,-1.00045e-11,3.9836e-10,-178.65
-3.98645e-10,-8.64026e-12,3.98531e-10,-178.908
-3.99895e-10,-8.64026e-12,3.99497e-10,-178.8
-4.01487e-10,-8.12866e-12,4.00748e-10,-178.86
-3.962e-10,-8.75394e-12,3.96939e-10,-178.77
-3.96485e-10,-8.75394e-12,3.95859e-10,-178.878
