X,Y,R,T
-5.57865e-10,-1.29035e-11,5.58661e-10,-178.788
-5.58604e-10,-1.11982e-11,5.58945e-10,-178.896
-5.58774e-10,-1.11414e-11,5.59513e-10,-178.872
-5.59002e-10,-1.11414e-11,5.59286e-10,-178.866
-5.57979e-10,-1.19372e-11,5.57979e-10,-178.8
-5.58945e-10,-1.13119e-11,5.58547e-10,-178.818
-5.59059e-10,-1.15393e-11,5.58376e-10,-178.74
-5.54795e-10,-1.21077e-11,5.57808e-10,-178.86
-5.57637e-10,-1.03456e-11,5.58035e-10,-178.938
-5.59684e-10,-1.00045e-11,5.59513e-10,-178.998
-5.58888e-10,-9.94765e-12,5.59115e-10,-178.872
