X,Y,R,T
-8.43162e-10,-2.51817e-11,8.42537e-10,-178.278
-8.40547e-10,-2.64323e-11,8.40547e-10,-178.158
-8.40206e-10,-2.64891e-11,8.40434e-10,-178.194
-8.38728e-10,-2.62049e-11,8.39126e-10,-178.188
-8.40092e-10,-2.86492e-11,8.4049e-10,-178.116
-8.39751e-10,-2.79671e-11,8.3924e-10,-178.086
-8.37876e-10,-2.62618e-11,8.38217e-10,-178.164
-8.38217e-10,-2.8365e-11,8.38842e-10,-178.08
-8.36682e-10,-2.75123e-11,8.35545e-10,-178.14
-8.3492e-10,-2.71144e-11,8.35033e-10,-178.146
-8.33328e-10,-2.69439e-11,8.3384e-10,-178.11
