X,Y,R,T
-4.30761e-10,-1.02887e-11,4.31557e-10,-178.68
-4.315e-10,-1.10277e-11,4.31216e-10,-178.476
-4.31273e-10,-1.15393e-11,4.32467e-10,-178.584
-4.32751e-10,-1.18803e-11,4.32808e-10,-178.542
-4.32751e-10,-1.23351e-11,4.32808e-10,-178.344
-4.32239e-10,-1.23351e-11,4.31102e-10,-178.332
-4.30193e-10,-1.32446e-11,4.31784e-10,-178.296
-4.3258e-10,-1.29035e-11,4.32296e-10,-178.29
-4.3025e-10,-1.2733e-11,4.30818e-10,-178.392
-4.32978e-10,-1.19372e-11,4.32808e-10,-178.362
-4.3258e-10,-1.26193e-11,4.32523e-10,-178.35
