X,Y,R,T
-4.81638e-10,-1.86448e-11,4.82832e-10,-177.738
-4.81808e-10,-1.80763e-11,4.81354e-10,-177.912
-4.80728e-10,-1.83037e-11,4.81013e-10,-177.786
-4.80615e-10,-1.91563e-11,4.81126e-10,-177.714
-4.80274e-10,-1.82468e-11,4.81013e-10,-177.846
-4.79648e-10,-1.96679e-11,4.79819e-10,-177.654
-4.80444e-10,-1.84742e-11,4.8249e-10,-177.786
-4.83059e-10,-1.96111e-11,4.84082e-10,-177.804
-4.82945e-10,-1.927e-11,4.83116e-10,-177.624
-4.8141e-10,-1.98385e-11,4.83798e-10,-177.642
-4.81183e-10,-1.93837e-11,4.80558e-10,-177.72
