X,Y,R,T
-3.24919e-10,-1.18803e-11,3.25601e-10,-177.888
-3.25715e-10,-1.23351e-11,3.26169e-10,-177.714
-3.27931e-10,-1.44951e-11,3.29296e-10,-177.48
-3.30376e-10,-1.49499e-11,3.31058e-10,-177.324
-3.28898e-10,-1.55752e-11,3.27988e-10,-177.348
-3.26112e-10,-1.37562e-11,3.26283e-10,-177.438
-3.2526e-10,-1.42109e-11,3.25715e-10,-177.36
-3.24521e-10,-1.56889e-11,3.24976e-10,-177.426
-3.24748e-10,-1.47226e-11,3.2526e-10,-177.39
-3.26624e-10,-1.56321e-11,3.27306e-10,-177.246
-3.24748e-10,-1.67121e-11,3.2543e-10,-177.108
