X,Y,R,T
-4.32523e-10,-8.35604e-12,4.32353e-10,-178.8
-4.34683e-10,-7.61707e-12,4.33547e-10,-179.154
-4.34115e-10,-6.19596e-12,4.34229e-10,-179.196
-4.35593e-10,-7.10546e-12,4.36616e-10,-179.022
-4.37582e-10,-7.90129e-12,4.38265e-10,-178.944
-4.37696e-10,-8.98132e-12,4.35366e-10,-178.848
-4.31841e-10,-9.72028e-12,4.32069e-10,-178.698
-4.33205e-10,-8.64026e-12,4.32921e-10,-178.908
-4.33205e-10,-8.29919e-12,4.32751e-10,-178.914
-4.34513e-10,-8.18551e-12,4.34968e-10,-178.89
-4.31273e-10,-8.98132e-12,4.30818e-10,-178.788
