X,Y,R,T
-3.92676e-10,-1.01182e-11,3.92619e-10,-178.524
-3.86878e-10,-9.77712e-12,3.86025e-10,-178.41
-3.85628e-10,-9.54975e-12,3.85684e-10,-178.662
-3.87731e-10,-1.05729e-11,3.88413e-10,-178.374
-3.8972e-10,-9.03816e-12,3.92165e-10,-178.86
-3.89152e-10,-8.58341e-12,3.87333e-10,-178.686
-3.8648e-10,-9.43606e-12,3.86423e-10,-178.536
-3.86025e-10,-9.94765e-12,3.86423e-10,-178.74
-3.87049e-10,-9.60659e-12,3.86423e-10,-178.53
-3.85684e-10,-8.07182e-12,3.85798e-10,-178.794
-3.8648e-10,-9.03816e-12,3.86708e-10,-178.602
