X,Y,R,T
-4.48383e-10,-1.71668e-11,4.48326e-10,-177.822
-4.49804e-10,-1.82468e-11,4.50202e-10,-177.558
-4.47359e-10,-1.92132e-11,4.41277e-10,-177.504
-3.97792e-10,-1.72805e-11,3.98133e-10,-177.684
-3.92449e-10,-1.711e-11,4.07001e-10,-177.534
-4.11946e-10,-1.84742e-11,3.92903e-10,-177.438
-4.32978e-10,-1.84742e-11,4.35422e-10,-177.594
-4.37298e-10,-1.79626e-11,4.4122e-10,-177.618
-4.4122e-10,-1.85879e-11,4.46223e-10,-177.54
-4.45313e-10,-1.88721e-11,4.45654e-10,-177.606
-4.47189e-10,-1.85879e-11,4.3781e-10,-177.528
