X,Y,R,T
-6.09763e-10,-1.90427e-11,6.09536e-10,-178.2
-6.08228e-10,-1.91563e-11,6.09024e-10,-178.26
-6.08171e-10,-1.81332e-11,6.08058e-10,-178.308
-6.09422e-10,-1.79626e-11,6.09308e-10,-178.35
-6.08228e-10,-1.80195e-11,6.08626e-10,-178.272
-6.08114e-10,-1.59731e-11,6.07375e-10,-178.446
-6.07034e-10,-1.64279e-11,6.07489e-10,-178.464
-6.06864e-10,-1.58026e-11,6.06523e-10,-178.446
-6.06921e-10,-1.4552e-11,6.07091e-10,-178.686
-6.07375e-10,-1.46089e-11,6.06693e-10,-178.662
-6.07148e-10,-1.46089e-11,6.07319e-10,-178.626
