X,Y,R,T
-5.65539e-10,-9.03816e-12,5.65993e-10,-179.07
-5.67017e-10,-1.00613e-11,5.67017e-10,-178.944
-5.66107e-10,-9.72028e-12,5.65255e-10,-178.998
-5.66505e-10,-1.03456e-11,5.66107e-10,-179.016
-5.66619e-10,-1.05729e-11,5.65652e-10,-178.938
-5.64459e-10,-1.06298e-11,5.63549e-10,-178.932
-5.61787e-10,-1.09708e-11,5.61389e-10,-178.848
-5.62185e-10,-1.19372e-11,5.62412e-10,-178.77
-5.63833e-10,-1.3074e-11,5.64174e-10,-178.662
-5.63208e-10,-1.32446e-11,5.63777e-10,-178.686
-5.6281e-10,-1.22782e-11,5.65027e-10,-178.788
