X,Y,R,T
-4.16891e-10,-8.29919e-12,4.1746e-10,-178.866
-4.16607e-10,-9.54975e-12,4.17915e-10,-178.674
-4.18938e-10,-9.20869e-12,4.19165e-10,-178.734
-4.1854e-10,-9.66344e-12,4.18938e-10,-178.704
-4.20188e-10,-8.98132e-12,4.20018e-10,-178.71
-4.18085e-10,-9.77712e-12,4.18028e-10,-178.752
-4.19449e-10,-9.60659e-12,4.1979e-10,-178.71
-4.19449e-10,-9.03816e-12,4.19279e-10,-178.632
-4.19847e-10,-7.73076e-12,4.19904e-10,-178.938
-4.18995e-10,-7.61707e-12,4.1854e-10,-179.034
-4.19051e-10,-7.7876e-12,4.19336e-10,-178.938
