X,Y,R,T
-7.61251e-10,-9.54975e-12,7.60966e-10,-179.28
-7.5983e-10,-9.54975e-12,7.61194e-10,-179.292
-7.6199e-10,-9.83397e-12,7.60568e-10,-179.268
-7.6199e-10,-9.60659e-12,7.61762e-10,-179.316
-7.60853e-10,-1.02319e-11,7.61023e-10,-179.238
-7.60568e-10,-1.13687e-11,7.6091e-10,-179.166
-7.62331e-10,-1.03456e-11,7.63468e-10,-179.262
-7.62387e-10,-1.02319e-11,7.62672e-10,-179.166
-7.63468e-10,-1.07435e-11,7.62444e-10,-179.22
-7.63126e-10,-1.19372e-11,7.62729e-10,-179.202
-7.63183e-10,-1.05161e-11,7.62842e-10,-179.232
