X,Y,R,T
-7.99222e-10,-2.53523e-11,7.99904e-10,-178.224
-8.007e-10,-2.5807e-11,8.01155e-10,-178.248
-8.01496e-10,-2.56933e-11,8.01496e-10,-178.164
-8.00984e-10,-2.4727e-11,8.02007e-10,-178.242
-8.01951e-10,-2.59207e-11,8.0178e-10,-178.158
-8.00132e-10,-2.44996e-11,7.99961e-10,-178.152
-7.99449e-10,-2.56365e-11,7.99393e-10,-178.176
-8.03485e-10,-2.56365e-11,8.05134e-10,-178.164
-8.03997e-10,-2.64891e-11,8.03542e-10,-178.026
-8.00814e-10,-2.7626e-11,7.99847e-10,-178.032
-7.99165e-10,-2.6887e-11,7.99677e-10,-178.104
