X,Y,R,T
-7.47722e-10,-1.68826e-11,7.47381e-10,-178.704
-7.47438e-10,-1.51205e-11,7.48177e-10,-178.836
-7.48006e-10,-1.58026e-11,7.48006e-10,-178.86
-7.492e-10,-1.50636e-11,7.49655e-10,-178.854
-7.49086e-10,-1.53478e-11,7.49711e-10,-178.842
-7.48802e-10,-1.4552e-11,7.48916e-10,-178.908
-7.49427e-10,-1.43814e-11,7.48688e-10,-178.92
-7.49541e-10,-1.30172e-11,7.49484e-10,-178.992
-7.49939e-10,-1.3813e-11,7.50109e-10,-178.908
-7.48063e-10,-1.32446e-11,7.47551e-10,-178.998
-7.48972e-10,-1.24488e-11,7.49541e-10,-179.04
