X,Y,R,T
-4.31955e-10,-1.95542e-11,4.33035e-10,-177.396
-4.32694e-10,-1.94974e-11,4.33092e-10,-177.522
-4.32182e-10,-1.82468e-11,4.33603e-10,-177.576
-4.33319e-10,-1.88721e-11,4.33888e-10,-177.564
-4.32978e-10,-1.87016e-11,4.33205e-10,-177.504
-4.34854e-10,-1.89858e-11,4.35024e-10,-177.468
-4.31841e-10,-1.92132e-11,4.31898e-10,-177.42
-4.31784e-10,-2.02932e-11,4.32353e-10,-177.246
-4.33149e-10,-1.97816e-11,4.33092e-10,-177.33
-4.33319e-10,-2.06343e-11,4.3366e-10,-177.234
-4.31443e-10,-2.01795e-11,4.315e-10,-177.336
