X,Y,R,T
-8.01723e-10,-6.87808e-12,8.00984e-10,-179.544
-8.03656e-10,-5.96859e-12,8.03826e-10,-179.526
-8.04622e-10,-7.1623e-12,8.05418e-10,-179.526
-8.04167e-10,-7.27601e-12,8.03713e-10,-179.436
-8.04565e-10,-7.10546e-12,8.0485e-10,-179.43
-8.06157e-10,-6.65071e-12,8.05759e-10,-179.556
-8.0502e-10,-7.27601e-12,8.04622e-10,-179.49
-8.05532e-10,-7.67392e-12,8.05361e-10,-179.472
-8.05191e-10,-6.59386e-12,8.05077e-10,-179.436
-8.06214e-10,-8.07182e-12,8.061e-10,-179.448
-8.06043e-10,-7.1623e-12,8.0593e-10,-179.508
