X,Y,R,T
-3.51578e-10,-9.15185e-12,3.41176e-10,-178.452
-3.285e-10,-1.06866e-11,3.43904e-10,-178.218
-3.55557e-10,-9.72028e-12,3.55387e-10,-178.374
-3.5425e-10,-1.06298e-11,3.54307e-10,-178.338
-3.54023e-10,-1.00613e-11,3.54762e-10,-178.428
-3.53966e-10,-9.89081e-12,3.54591e-10,-178.386
-3.5533e-10,-9.89081e-12,3.55955e-10,-178.38
-3.56694e-10,-9.54975e-12,3.57604e-10,-178.47
-3.59138e-10,-1.0914e-11,3.59366e-10,-178.26
-3.60901e-10,-1.15393e-11,3.61867e-10,-178.158
-3.57661e-10,-1.15961e-11,3.57661e-10,-178.032
