X,Y,R,T
-5.08411e-10,-2.17711e-11,5.07843e-10,-177.6
-5.08582e-10,-2.10322e-11,5.09321e-10,-177.624
-5.08013e-10,-2.19417e-11,5.0898e-10,-177.534
-5.08638e-10,-2.12027e-11,5.09207e-10,-177.576
-5.08354e-10,-2.03501e-11,5.08411e-10,-177.732
-5.07786e-10,-2.02364e-11,5.07445e-10,-177.702
-5.06478e-10,-2.13164e-11,5.07729e-10,-177.546
-5.07217e-10,-2.30217e-11,5.079e-10,-177.456
-5.07615e-10,-2.13732e-11,5.07047e-10,-177.606
-5.06706e-10,-2.02364e-11,5.06137e-10,-177.798
-5.06308e-10,-2.08048e-11,5.07047e-10,-177.594
