X,Y,R,T
-7.09409e-10,-2.19417e-11,7.08841e-10,-178.224
-7.05658e-10,-2.00658e-11,7.04578e-10,-178.332
-7.03896e-10,-2.0748e-11,7.04237e-10,-178.302
-7.02816e-10,-1.97248e-11,7.02872e-10,-178.38
-7.02929e-10,-1.98385e-11,7.03441e-10,-178.374
-7.03043e-10,-1.80195e-11,7.03157e-10,-178.554
-7.03839e-10,-1.82468e-11,7.02929e-10,-178.488
-7.03725e-10,-1.70531e-11,7.04805e-10,-178.596
-7.02872e-10,-1.67689e-11,7.02077e-10,-178.566
-7.03157e-10,-1.69394e-11,7.02929e-10,-178.602
-7.0219e-10,-1.711e-11,7.02247e-10,-178.632
