X,Y,R,T
-2.43519e-10,-1.00613e-11,2.44144e-10,-177.648
-2.42553e-10,-9.94765e-12,2.43121e-10,-177.606
-2.43178e-10,-1.0175e-11,2.42553e-10,-177.462
-2.42553e-10,-1.17666e-11,2.42553e-10,-177.276
-2.42553e-10,-1.03456e-11,2.42496e-10,-177.558
-2.45054e-10,-1.06866e-11,2.44997e-10,-177.504
-2.43633e-10,-1.23351e-11,2.44542e-10,-177.054
-2.45281e-10,-1.18235e-11,2.45906e-10,-177.084
-2.4369e-10,-1.11414e-11,2.44144e-10,-177.432
-2.44656e-10,-1.22782e-11,2.44656e-10,-177.018
-2.41757e-10,-1.25625e-11,2.41643e-10,-177.12
