X,Y,R,T
-6.40743e-10,-1.86448e-11,6.41425e-10,-178.332
-6.4205e-10,-1.89858e-11,6.42107e-10,-178.26
-6.40743e-10,-2.03501e-11,6.4097e-10,-178.242
-6.40572e-10,-1.99522e-11,6.40743e-10,-178.14
-6.40117e-10,-1.96679e-11,6.39265e-10,-178.194
-6.39094e-10,-2.04637e-11,6.40288e-10,-178.14
-6.40629e-10,-2.08048e-11,6.40117e-10,-178.092
-6.38583e-10,-2.17143e-11,6.38924e-10,-178.014
-6.38867e-10,-2.21122e-11,6.39265e-10,-178.068
-6.37389e-10,-2.22259e-11,6.38412e-10,-177.99
-6.39265e-10,-2.23964e-11,6.40004e-10,-177.984
