X,Y,R,T
-4.14277e-10,-1.85311e-11,4.17232e-10,-177.444
-4.16721e-10,-1.87016e-11,4.17915e-10,-177.408
-4.18369e-10,-1.90995e-11,4.18028e-10,-177.336
-4.17062e-10,-1.79058e-11,4.1763e-10,-177.606
-4.15982e-10,-1.84174e-11,4.16948e-10,-177.444
-4.1746e-10,-1.98385e-11,4.17062e-10,-177.276
-4.17119e-10,-1.92132e-11,4.17801e-10,-177.246
-4.15016e-10,-2.0009e-11,4.15811e-10,-177.288
-4.16778e-10,-1.88153e-11,4.15698e-10,-177.36
-4.14277e-10,-1.76784e-11,4.14049e-10,-177.624
-4.13651e-10,-1.6371e-11,4.14561e-10,-177.612
