X,Y,R,T
-4.55261e-10,-1.93269e-11,4.55147e-10,-177.552
-4.54181e-10,-1.93837e-11,4.54635e-10,-177.636
-4.54749e-10,-1.85879e-11,4.54863e-10,-177.618
-4.56795e-10,-1.76216e-11,4.57762e-10,-177.87
-4.57819e-10,-1.7451e-11,4.58501e-10,-177.816
-4.58728e-10,-1.7451e-11,4.57819e-10,-177.966
-4.58387e-10,-1.71668e-11,4.58899e-10,-177.828
-4.5708e-10,-1.71668e-11,4.57478e-10,-177.774
-4.56682e-10,-1.83605e-11,4.55488e-10,-177.714
-4.54181e-10,-1.72805e-11,4.53783e-10,-177.822
-4.53214e-10,-1.76784e-11,4.53328e-10,-177.858
