X,Y,R,T
-8.26166e-10,-2.3988e-11,8.26223e-10,-178.278
-8.26962e-10,-2.44996e-11,8.2736e-10,-178.314
-8.26564e-10,-2.35333e-11,8.26905e-10,-178.326
-8.2736e-10,-2.46133e-11,8.2736e-10,-178.248
-8.2645e-10,-2.23396e-11,8.26393e-10,-178.422
-8.25143e-10,-2.25669e-11,8.24631e-10,-178.5
-8.22698e-10,-2.04069e-11,8.22812e-10,-178.56
-8.23949e-10,-2.25669e-11,8.2429e-10,-178.44
-8.2429e-10,-2.05206e-11,8.24404e-10,-178.536
-8.24233e-10,-1.98385e-11,8.25199e-10,-178.668
-8.23267e-10,-1.96111e-11,8.2321e-10,-178.638
