X,Y,R,T
-5.53317e-10,-2.20554e-11,5.53715e-10,-177.672
-5.49282e-10,-2.26238e-11,5.51612e-10,-177.564
-5.52806e-10,-2.2908e-11,5.54397e-10,-177.66
-5.52237e-10,-2.11459e-11,5.52408e-10,-177.69
-5.52749e-10,-2.25669e-11,5.52863e-10,-177.702
-5.49168e-10,-2.26806e-11,5.29898e-10,-177.564
-5.44905e-10,-2.14869e-11,5.49566e-10,-177.852
-5.5201e-10,-2.14869e-11,5.51442e-10,-177.834
-5.511e-10,-2.15438e-11,5.51385e-10,-177.762
-5.4786e-10,-2.0748e-11,5.49225e-10,-177.864
-5.50191e-10,-2.14869e-11,5.50077e-10,-177.804
