X,Y,R,T
-5.3365e-10,-1.05161e-11,5.33706e-10,-178.836
-5.32001e-10,-8.46972e-12,5.32285e-10,-179.016
-5.33138e-10,-8.52657e-12,5.33138e-10,-179.016
-5.33536e-10,-9.32238e-12,5.33365e-10,-178.986
-5.33877e-10,-8.58341e-12,5.34161e-10,-179.058
-5.34786e-10,-8.35604e-12,5.34616e-10,-179.088
-5.34104e-10,-8.86763e-12,5.3365e-10,-179.082
-5.33934e-10,-8.92447e-12,5.33593e-10,-179.142
-5.34616e-10,-8.58341e-12,5.35412e-10,-179.106
-5.35753e-10,-7.56023e-12,5.35866e-10,-179.184
-5.36378e-10,-9.15185e-12,5.36435e-10,-178.998
