X,Y,R,T
-5.81569e-10,-2.3647e-11,5.8191e-10,-177.72
-5.81057e-10,-2.27375e-11,5.81455e-10,-177.666
-5.87026e-10,-2.44428e-11,6.163e-10,-177.762
-6.55294e-10,-2.46702e-11,6.21018e-10,-177.822
-5.86798e-10,-2.44428e-11,6.15675e-10,-177.666
-6.73598e-10,-2.57502e-11,6.76668e-10,-177.81
-6.76327e-10,-2.46133e-11,6.76838e-10,-177.876
-6.74394e-10,-2.53523e-11,6.75417e-10,-177.81
-6.7519e-10,-2.51817e-11,6.74451e-10,-177.828
-6.72404e-10,-2.50112e-11,6.7195e-10,-177.96
-6.71779e-10,-2.55228e-11,6.71779e-10,-177.876
