X,Y,R,T
-8.71299e-10,-7.90129e-12,8.72038e-10,-179.496
-8.71129e-10,-7.84445e-12,8.71186e-10,-179.448
-8.72266e-10,-8.07182e-12,8.72436e-10,-179.532
-8.72152e-10,-7.56023e-12,8.72436e-10,-179.532
-8.72777e-10,-7.95813e-12,8.72664e-10,-179.52
-8.7363e-10,-8.01498e-12,8.73346e-10,-179.496
-8.72777e-10,-8.35604e-12,8.72664e-10,-179.478
-8.75279e-10,-8.35604e-12,8.75392e-10,-179.412
-8.75449e-10,-8.41288e-12,8.75733e-10,-179.514
-8.76415e-10,-7.67392e-12,8.7687e-10,-179.484
-8.76188e-10,-8.35604e-12,8.77154e-10,-179.43
