X,Y,R,T,long
-4.37469e-10,-5.68437e-12,3.86082e-10,-179.28,634
-4.44517e-10,-5.91174e-12,3.93131e-10,-179.226,633
-4.50884e-10,-6.13912e-12,3.99497e-10,-179.238,632
-4.56341e-10,-5.68437e-12,4.04727e-10,-179.286,631
-4.63389e-10,-6.13912e-12,4.1223e-10,-179.256,630
-4.70667e-10,-6.59386e-12,4.19279e-10,-179.208,629
-4.73396e-10,-6.36649e-12,4.2178e-10,-179.232,628
-4.80217e-10,-6.36649e-12,4.28829e-10,-179.262,627
-4.87493e-10,-6.82124e-12,4.36104e-10,-179.214,626
-4.9636e-10,-6.59386e-12,4.44972e-10,-179.25,625
-5.0591e-10,-6.82124e-12,4.54522e-10,-179.244,624
-5.10003e-10,-7.27601e-12,4.58614e-10,-179.196,623
-5.16369e-10,-6.59386e-12,4.64754e-10,-179.298,622
-5.23418e-10,-7.04861e-12,4.71804e-10,-179.25,621
-5.30012e-10,-7.04861e-12,4.78625e-10,-179.262,620
-5.35469e-10,-7.50339e-12,4.84082e-10,-179.214,619
-5.46155e-10,-7.04861e-12,4.94996e-10,-179.268,618
-5.54341e-10,-7.04861e-12,5.02954e-10,-179.274,617
-5.64345e-10,-7.50339e-12,5.12959e-10,-179.238,616
-5.74349e-10,-6.59386e-12,5.22963e-10,-179.352,615
-5.82535e-10,-6.59386e-12,5.30921e-10,-179.358,614
-5.91402e-10,-6.36649e-12,5.40243e-10,-179.388,613
-6.0118e-10,-6.59386e-12,5.49793e-10,-179.382,612
-6.09592e-10,-6.36649e-12,5.58206e-10,-179.418,611
-6.19824e-10,-6.36649e-12,5.68438e-10,-179.43,610
-6.29147e-10,-5.68437e-12,5.77987e-10,-179.472,609
-6.41197e-10,-5.68437e-12,5.90038e-10,-179.526,608
-6.55067e-10,-5.22962e-12,6.03908e-10,-179.55,607
-6.67118e-10,-5.457e-12,6.15959e-10,-179.544,606
-6.79851e-10,-5.68437e-12,6.28464e-10,-179.538,605
-6.9031e-10,-5.00225e-12,6.39151e-10,-179.598,604
-6.95085e-10,-5.457e-12,6.43926e-10,-179.562,603
-7.07136e-10,-5.22962e-12,6.55749e-10,-179.58,602
